phbarc,phprsu,phcolp,phcocp,phlebi,phlesu,phadul,phfpre,phcocs,tititu,tiauto
101482150,BMM   ,,MA   ,,,,08/01/25,Q    ,Suzuki Cello School. Volume 5 : piano accompaniments [,Suzuki, Shin'ichi (1898-1998)
100061189,BMM   ,,MA   ,,,,08/01/25,Q    ,Le JEUNE violoncelliste. 2B : collection de morceaux classiq,
1300026196,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,08/01/25,T    ,Músicas de barro y marfil: la relación entre el folklore y e,Benavides, Ana (1965-)
101482888,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,08/01/25,Q    ,The thirty - two piano sonatas in five volumes. Volume V : s,Beethoven, Ludwig van (1770-1827)
100061942,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,08/01/25,Q    ,Pièces de guitarre /,Médard, Rémy.
100057891,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,08/01/25,Q    ,Premier livre de pièces de violle /,Morel, Jacques (S.XVIII)
100062095,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,08/01/25,Q    ,Seis sonatas : para arpa : volúmen I /,Soler, Antonio (1729-1783)
1300026593,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,09/01/25,T    ,Curso completo de piano /,
101028062,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,08/01/25,Q    ,18 piezas para niños, Op. 27 /,Kabalewski, Dmitry Borisovich (1904-1987)
101027477,BMM   ,,MA   ,,,,09/01/25,Q    ,Mi segundo libro de guitarra : técnica, estudios y obras /,Martínez Zárate, Jorge (1923-1993)
100780132,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,09/01/25,S    ,Lennon Legend : The Very Best Of John Lennon [,Lennon, John (1940-1980)
101887748,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,09/01/25,Q    ,Play-along jazz with a jazz trio : trumpet /,
30760,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,10/01/25,T    ,El monasterio de Sendomir, El pobre músico , Escritos sobre ,Grillparzer, Franz.
30824,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,13/01/25,T    ,Le dedico mi silencio / ,Vargas Llosa, Mario (1936-)
30825,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,16/01/25,T    ,Lucerna,  Albert / ,Tolstoï, Lev Nikolaevich (1828-1910)
30370,BMM   ,USU  ,MA   ,BHM   ,BHM   ,1,10/01/25,T    ,Viaje musical por Francia e Italia : situación actual de la,Burney, Charles (1726-1814)
25945,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,10/01/25,S    ,One Quiet Night /,Metheny, Pat (1954-)
1401238599,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,10/01/25,T    ,Vidas perras : cuentos musicales del Sofá Sonoro / ,Cardenal, Alfonso.
1300023612,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,10/01/25,Q    ,MEMORABLES. 1 [,
100074874,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,10/01/25,Q    ,Memorables. 2 [,
100327486,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,10/01/25,Q    ,ANTOLOGÍA de los cantautores [,
100776182,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,13/01/25,S    ,La guitare brésilienne contemporaine : Label Kuarup 1977 - 2,
284841,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,13/01/25,S    ,The Complete Orchestral Suites 1931-1960 [,Ellington, Duke (1899-1974)
100058977,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,13/01/25,Q    ,Gurre-Lieder : für soli, Chor und Orchester /,Schoenberg, Arnold (1874-1951)
101488276,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,15/01/25,V    ,8 millas : making of [,
292671,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,15/01/25,V    ,Chico & Rita [,
200001151,BMM   ,,MA   ,,,,15/01/25,Q    ,Sinfonías : nº 2, en Do m , nº 12, en Mi b M , nº 13, en Mi,Baguer, Carles (1768-1808)
100072805,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,16/01/25,Q    ,I Capuleti e i Montecchi : tragedia lirica in due atti /,Bellini, Vincenzo (1801-1835)
1300026744,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,17/01/25,V    ,El maestro de música [,
1800345731,BTM   ,AYU  ,MT   ,BTM   ,BTM   ,1,17/01/25,T    ,Auxiliar Administrativo/a de Corporaciones Locales. Supuesto,Rodríguez Rivera, Francisco Enrique.
101026388,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,20/01/25,Q    ,Mi primer maestro de piano, Op. 599 /,Czerny, Carl (1791-1857)
100105248,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,20/01/25,T    ,Música, maestro : bases para una educación musical : 2-7 año,Sanuy, Montse (1935-)
100776228,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,21/01/25,Q    ,Iniciación al piano. Curso 1º : ejercicios para piano comple,
1000003815,ATM   ,ATM  ,MOA  ,ATM   ,ATM   ,1,22/01/25,T    ,El sistema de recursos en el proceso concursal /,López García, Pablo.
1000003816,ATM   ,ATM  ,MOA  ,ATM   ,ATM   ,1,22/01/25,T    ,La transmisión de inmuebles dentro del concurso y procedimie,Calvo González-Vallinas, Rafael.
100328320,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,22/01/25,Q    ,La modulación en el solfeo /,Barrio, Adelino (1933-)
100072867,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,24/01/25,Q    ,Suor Angelica : opera in un atto /,Puccini, Giacomo (1858-1924)
100070621,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,24/01/25,Q    ,Dido and Aeneas /,Purcell, Henry (1659-1695)
100069726,BMM   ,,MA   ,,,,27/01/25,T    ,Violin and viola /,Menuhin, Yehudi.
100781891,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,28/01/25,S    ,Antología /,Modugno, Domenico (1928-1994)
101482376,BMM   ,USU  ,MA   ,BMM   ,,1,29/01/25,Q    ,Das Wohltemperierte Klavier II = The welltempered clavier II,Bach, Johann Sebastian (1685-1750)
100782282,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,13/01/25,S    ,Mary Poppins [,Sherman, Richard (1928-)
101893726,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,28/01/25,S    ,Paris [: Highlighting artists from the Nouvelle Scene, Paris,
1401238528,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,13/01/25,V    ,La Favorita: Opera in four acts / ,
283536,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,23/01/25,T    ,Musical instruments and their symbolism in western art : stu,Winternitz, Emanuel.
1401236669,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,08/01/25,S    ,Dedicado a Antonio Machado, poeta [,Serrat, Joan Manuel (1943-)
1401233306,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,08/01/25,S    ,Goyescas /,Granados, Enrique (1867-1916)
100776173,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,08/01/25,S    ,A dama e o cabaleiro : Amancio Prada , poemas de Alvaro Cunq,Prada, Amancio (1949-)
100765376,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,09/01/25,S    ,Past to present 1977-1990 /,Toto.
100051282,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,08/01/25,T    ,La jota como género musical : un estudio musicológico acerca,Manzano, Miguel.
101025512,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,08/01/25,T    ,Los cafés cantantes de Madrid (1846-1936) /,Blas Vega, José (1942-2012)
100783213,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,09/01/25,S    ,Forty licks /,The Rolling Stones (Grupo musical)
1300011720,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,09/01/25,S    ,The Platinum collection : greatest hits I II & III [,Queen (Grupo musical)
284470,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,09/01/25,S    ,The best of The Depeche Mode, volume 1 [,Depeche Mode (Grupo musical)
101026717,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,22/01/25,Q    ,Delphin Alard para viola. Vol. I, Grado elemental : Selecció,Alard, Delphin (1815-1888)
101482107,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,10/01/25,V    ,The Tchaikovsky Cycle. Volume 1 [,
1300029901,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,10/01/25,S    ,Chaser /,Rypdal, Terje (1947-)
1401232240,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,10/01/25,S    ,My Song /,Jarrett, Keith (1945-)
1300029721,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,16/01/25,S    ,Facing You /,Jarrett, Keith (1945-)
1401232271,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,28/01/25,S    ,Siroco / ,Paco de Lucía (1947-2014)
100766887,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,14/01/25,T    ,"Mentiras" que me contaba mi profesor de música /,Eskelin, Gerald.
100104887,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,14/01/25,T    ,Lieder y canciones de España : pequeña historia contemporáne,Fernández-Cid, Antonio.
101889916,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,14/01/25,T    ,Musicofilia : relatos de la música y el cerebro /,Sacks, Oliver (1933-)
1401237756,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,14/01/25,S    ,Musique de la Grece Antique [,
200003912,BMM   ,,MA   ,,,,15/01/25,Q    ,Obras completas : I Instrumental, Obra sinfónica 1 /,Barja, Angel (1938-1987)
100353853,BMM   ,,MA   ,,,,15/01/25,Q    ,MÚSICA española para orquesta de cuerda : (siglos XVIII y XI,
101895198,BMM   ,,MA   ,,,,15/01/25,Q    ,Sinfonía castellana /,Antonio José (1902-1936)
101895204,BMM   ,,MA   ,,,,15/01/25,Q    ,Evocaciones : cuadros de danza campesina, Nº II : para orque,Antonio José (1902-1936)
1300025243,BMM   ,,MA   ,,,,15/01/25,Q    ,Saxophone quartet : 1995 [,Glass, Philip (1937-)
1300025602,BMM   ,,MA   ,,,,15/01/25,Q    ,Concerto for trombone : arranged for trombone and piano [,Jacob, Gordon (1895-1984)
100358900,BMM   ,,MA   ,,,,15/01/25,Q    ,Concert per a trombó i orquestra, Op. 70 /,Brotons, Salvador (1959-)
1300012876,BMM   ,,MA   ,,,,15/01/25,Q    ,Don Quixote : trombone concerto, nº 2 : [score in C] /,Sandström, Jan.
1000003806,ATM   ,,MOA  ,,,,15/01/25,T    ,Derecho local. Elementos para su práctica administrativa. Vo,
1300028572,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,15/01/25,S    ,Best of Beethoven: sonatas, concertos symphonies /,Beethoven, Ludwig van (1770-1827)
1401232956,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,16/01/25,S    ,Buenos Hermanos /,Ferrer, Ibrahim (1927-2005)
1800342557,BTM   ,USU  ,MT   ,BTM   ,BTM   ,1,16/01/25,T    ,Manual de formato MARC 21 : monografías, publicaciones seria,
100328585,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,16/01/25,T    ,La música popular en el siglo XX /,Cripps, Colin.
100352042,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,16/01/25,Q    ,Orpheé et Euridice = : Orpheus and Eurydice /,Gluck, Christoph Willibald, Ritter von (1714-1787)
100775413,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,16/01/25,Q    ,Gracias a la vida /,Parra, Violeta (1917-1967)
1300019263,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,16/01/25,Q    ,The Beatles : the best of [,The Beatles (Grupo musical)
100767964,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,16/01/25,Q    ,Anastasia : vocal selections /,Flaherty, Stephen.
100326895,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,17/01/25,T    ,SOURCE readings in music history /,
100069730,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,17/01/25,T    ,El pianista : técnica y metafísica /,Deschaussées, Monique.
100777850,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,17/01/25,Q    ,Voces de primavera : vals : Op. 410 /,Strauss, Johann (1825-1899)
101888785,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,21/01/25,Q    ,Piano complementario. Nivel 1 /,Henao, Antonio.
100778389,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,28/01/25,Q    ,Peer Gynt suite, Holberg suite, and other works for piano so,Grieg, Edvard (1843-1907)
1401238521,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,13/01/25,V    ,Edgar: Dramma lirico in four acts / ,
